household_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
1;all;none;1;0;399.526720555399;0
442634;some;none;1;0;4480.959436860528;175429
3;all;none;1;0;4018.1625376945613;0
253415;some;none;1;0;5503.3113308482325;100459
418532;some;none;2;0;5885.028185146609;165866
806462;some;none;1;0;3053.4607001410595;319729
942694;some;none;1;0;2365.7844178570913;373816
236614;some;none;1;0;2735.23787808237;93692
307620;some;none;1;0;3952.3738086616036;121964
389084;some;none;1;0;5602.5619972788245;154158
527007;some;none;1;0;1376.2938661938822;208901
1094589;some;none;1;0;2757.220265259849;434098
269165;all;none;1;0;679.392597589122;106704
282423;all;none;1;0;2727.8890917618332;111926
333571;some;none;1;0;11447.153292124354;132222
663898;some;none;1;0;5574.123140916724;263145
734016;some;none;1;0;3104.1282939086914;290933
965964;some;none;1;0;6251.766048841648;383030
1374323;some;none;2;0;8206.663580307584;520684
1645863;all;none;2;0;1537.0441597743848;598735
4848879;some;none;1;0;2967.465278071425;1767838
7;none;all;0;2;5050.894731786794;1
102533;none;all;0;2;2663.012565487816;40461
323553;none;all;0;2;3492.6990931896635;128238
405915;none;all;0;2;7003.258250745937;160872
531497;none;some;0;2;7131.2873052013165;210702
602066;none;all;0;2;4359.504113282881;238673
673156;none;some;0;2;670.9378325986659;266803
842835;none;all;0;2;2178.124362998413;334187
4163184;none;all;0;2;2264.6743133814252;1504743
4366233;none;some;0;2;4511.68995198749;1584720
215962;none;some;0;2;2045.5715788063449;85484
473611;none;some;0;2;5635.122366642444;187696
222063;none;some;0;2;4154.447178972944;87912
330026;none;some;0;2;10303.091827377639;130836
367901;none;all;0;2;2858.852437835084;145770
782538;none;all;0;2;2442.7052611162435;310188
950254;none;all;0;2;10700.797149243504;376835
1010729;none;some;0;2;1194.5659983609162;400770
643639;none;none;0;0;7430.060855685654;255145
862792;none;none;0;0;1229.9005909161247;342098
12;all;none;1;0;3804.0307238838127;3
26293;all;none;1;0;2916.624954089039;10351
193719;some;none;1;0;5246.382782113632;76571
218947;all;none;2;0;12460.979734055982;86677
590901;some;none;1;0;6490.365985942609;234222
748256;some;none;1;0;11723.825117791614;296562
